empresa,estado,tel,lat,long,contador
Correia Ltda.,ES,(071) 0446 7687,-19.19,-40.34,361
da Luz,PA,+55 (021) 0844 9886,-5.53,-52.29,383
Lopes,RS,+55 11 7614-0313,-30.01,-51.22,355
Correia S.A.,TO,(011) 4251 2569,-10.25,-48.25,391
Moreira Novaes Ltda.,MA,+55 (061) 3757 3475,-2.55,-44.3,375
Cunha,RN,0900-489-8885,-5.22,-36.52,381
Rocha,RS,+55 (051) 8693 6544,-30.01,-51.22,355
Ferreira,ES,(031) 8623 0443,-19.19,-40.34,361
Fernandes Gomes S.A.,AP,(071) 3594-7481,1.41,-51.77,377
Oliveira,ES,(011) 6352 9878,-19.19,-40.34,361
da Conceição S.A.,PB,+55 (081) 2253 6565,-7.06,-35.55,372
Campos - EI,PE,+55 21 7488-8678,-8.28,-35.07,345
Cavalcanti Rocha e Filhos,RN,0500-032-8882,-5.22,-36.52,381
das Neves da Cruz - EI,AP,(051) 3909-8853,1.41,-51.77,377
da Cunha,RS,+55 71 5882 7322,-30.01,-51.22,355
Caldeira,DF,+55 (041) 4062 4716,-15.83,-47.86,362
Santos Mendes - ME,TO,81 7837 7161,-10.25,-48.25,391
Ribeiro Alves - ME,SE,(031) 4450 7753,-10.9,-37.07,373
Almeida,SC,+55 41 0017-4420,-27.33,-49.44,368
Silva,RN,+55 (031) 2437 2221,-5.22,-36.52,381
Carvalho Pereira e Filhos,AM,+55 81 1073 5747,-3.07,-61.66,363
Almeida,BA,+55 (081) 7144-8186,-12.96,-38.51,368
Viana Gomes e Filhos,PA,(081) 2801-5347,-5.53,-52.29,383
Duarte,MS,51 2066 2018,-20.51,-54.54,406
da Mata,PA,+55 (071) 6647-3556,-5.53,-52.29,383
da Luz - EI,PR,+55 (061) 6643-4023,-24.89,-51.55,391
Gomes,SC,+55 84 2769 8210,-27.33,-49.44,368
Mendes,MA,(041) 1660 8256,-2.55,-44.3,375
Santos e Filhos,PB,0900 154 0272,-7.06,-35.55,372
Gonçalves,RR,+55 71 8278-4060,1.89,-61.22,374
da Paz e Filhos,RO,+55 (084) 3137 7814,-11.22,-62.8,358
Rezende,AC,84 5739-1100,-8.77,-70.55,408
Barros S/A,PE,+55 71 1960-4577,-8.28,-35.07,345
Barros Rezende S/A,BA,84 4010 5086,-12.96,-38.51,368
Araújo,GO,(071) 7898-2551,-16.64,-49.31,354
Silveira Souza Ltda.,RO,+55 (084) 7116 3037,-11.22,-62.8,358
Pires,AP,+55 (051) 0495-2376,1.41,-51.77,377
Alves,RN,(084) 4227 7073,-5.22,-36.52,381
Moreira,RO,+55 81 3968-2860,-11.22,-62.8,358
Santos da Rosa e Filhos,MG,(084) 9595-2600,-18.1,-44.38,339
Oliveira,RR,84 2385-5328,1.89,-61.22,374
Nascimento Vieira - EI,PR,+55 31 0563 7260,-24.89,-51.55,391
da Cunha,SC,51 5812 1751,-27.33,-49.44,368
Ribeiro,SC,0300-962-4519,-27.33,-49.44,368
Vieira e Filhos,PE,21 0147-1414,-8.28,-35.07,345
Duarte Jesus e Filhos,AL,+55 (031) 6974 3924,-9.71,-35.73,332
Freitas,RO,31 5200-2536,-11.22,-62.8,358
Cardoso Ltda.,BA,(031) 5285 7308,-12.96,-38.51,368
Sales,BA,+55 11 2592-2943,-12.96,-38.51,368
Moura,MS,+55 (021) 9983-8619,-20.51,-54.54,406
Viana,AC,+55 81 9442 9833,-8.77,-70.55,408
Castro Santos Ltda.,PB,+55 61 5096 2509,-7.06,-35.55,372
Carvalho,BA,0900-575-7587,-12.96,-38.51,368
Teixeira,PE,0300 693 4756,-8.28,-35.07,345
da Mata,MS,+55 84 4847-8499,-20.51,-54.54,406
Cardoso,PA,+55 84 3324 3326,-5.53,-52.29,383
Oliveira,MT,+55 71 0367 5773,-12.64,-55.42,384
Rocha,PR,+55 11 9330-2619,-24.89,-51.55,391
Costa,RJ,71 2803 3207,-22.84,-43.15,378
Aragão,MG,+55 81 3548 4064,-18.1,-44.38,339
Moreira,MS,0800-034-3016,-20.51,-54.54,406
Lima,PB,+55 (021) 9023 4171,-7.06,-35.55,372
Araújo S.A.,GO,0300-595-6399,-16.64,-49.31,354
Porto Almeida - EI,MS,31 0150 6119,-20.51,-54.54,406
Lopes Cunha e Filhos,TO,+55 (041) 0621-1698,-10.25,-48.25,391
da Cruz,PE,(051) 2246-8869,-8.28,-35.07,345
Viana S.A.,TO,+55 71 6093 7682,-10.25,-48.25,391
Cardoso S/A,PR,0300-560-5780,-24.89,-51.55,391
Carvalho,DF,(081) 5580-3755,-15.83,-47.86,362
Moura,RJ,+55 (041) 5519-4714,-22.84,-43.15,378
das Neves - EI,BA,0900 015 8009,-12.96,-38.51,368
da Mota,RS,+55 (081) 8593 5995,-30.01,-51.22,355
Moreira,AM,+55 71 7177-0005,-3.07,-61.66,363
Castro,BA,71 5232 0589,-12.96,-38.51,368
da Costa,GO,0500-747-4579,-16.64,-49.31,354
Teixeira Azevedo S/A,DF,31 0633 6642,-15.83,-47.86,362
Ramos,RN,(084) 1702-4190,-5.22,-36.52,381
da Cunha - ME,AC,(071) 6905-9616,-8.77,-70.55,408
da Costa,PA,71 5872-0517,-5.53,-52.29,383
Peixoto Cavalcanti Ltda.,MG,+55 (021) 0492-4775,-18.1,-44.38,339
Alves,PE,(011) 3240-1954,-8.28,-35.07,345
da Conceição S.A.,AP,+55 51 9353 5831,1.41,-51.77,377
Gomes - ME,PE,+55 (041) 1235 7187,-8.28,-35.07,345
Santos Vieira S.A.,RN,0300 645 6288,-5.22,-36.52,381
Castro,SE,+55 81 9390-0000,-10.9,-37.07,373
Moraes da Cruz - ME,BA,51 9624 4148,-12.96,-38.51,368
Melo,RO,51 3222 5366,-11.22,-62.8,358
Azevedo,SP,+55 (071) 6534 4713,-23.55,-46.64,371
Mendes - EI,RS,(081) 6647 3945,-30.01,-51.22,355
Santos Monteiro S.A.,PE,+55 51 9320 1517,-8.28,-35.07,345
Oliveira Caldeira S.A.,MT,0500 754 0723,-12.64,-55.42,384
da Cunha e Filhos,MG,0500 341 4113,-18.1,-44.38,339
da Costa da Cruz - EI,SP,+55 (011) 4132 6141,-23.55,-46.64,371
Farias,RR,71 4035-7195,1.89,-61.22,374
Cavalcanti da Conceição - ME,BA,+55 41 9705-7245,-12.96,-38.51,368
Almeida,AM,(051) 4281 2228,-3.07,-61.66,363
Araújo,PB,+55 81 3142 6148,-7.06,-35.55,372
Caldeira,DF,+55 21 8470-8970,-15.83,-47.86,362
Dias - ME,SE,(031) 5625 1598,-10.9,-37.07,373
Caldeira Ltda.,SC,+55 (071) 1564-8619,-27.33,-49.44,368
Caldeira,SP,61 3179 6372,-23.55,-46.64,371
da Cunha,AL,(021) 8445 0091,-9.71,-35.73,332
Ferreira - EI,AC,(071) 7190-6250,-8.77,-70.55,408
Nascimento Lima - EI,PR,+55 (011) 0542-0193,-24.89,-51.55,391
Lopes,SC,+55 11 9507 4359,-27.33,-49.44,368
Barbosa,RR,(081) 1124 6910,1.89,-61.22,374
Ribeiro,MA,0500-873-8021,-2.55,-44.3,375
Cardoso,MS,+55 (031) 9902 8275,-20.51,-54.54,406
Moreira,GO,+55 (061) 9614 1484,-16.64,-49.31,354
Gonçalves,SP,(041) 8779 6349,-23.55,-46.64,371
Souza - ME,PE,21 7151 9444,-8.28,-35.07,345
da Conceição S/A,PB,(031) 7160 4982,-7.06,-35.55,372
Nogueira Lopes Ltda.,SP,+55 81 0607 5665,-23.55,-46.64,371
Campos,BA,+55 (051) 6931 1645,-12.96,-38.51,368
Lima Gomes - ME,CE,+55 (051) 4968-5943,-3.71,-38.54,374
Moura,PA,51 4882 0788,-5.53,-52.29,383
Farias,GO,(084) 2106-5228,-16.64,-49.31,354
Ferreira das Neves Ltda.,PB,(021) 8146 0709,-7.06,-35.55,372
Monteiro da Mota - EI,SE,+55 (081) 7241-4375,-10.9,-37.07,373
Nogueira,SE,0300-075-0943,-10.9,-37.07,373
Farias,ES,(011) 2257 6926,-19.19,-40.34,361
Azevedo S.A.,PB,(084) 2599-4374,-7.06,-35.55,372
Martins da Rosa Ltda.,RO,(031) 5036 9112,-11.22,-62.8,358
Lopes,GO,+55 (031) 8218-4857,-16.64,-49.31,354
Freitas da Mota e Filhos,CE,(021) 3482 9141,-3.71,-38.54,374
Pires,TO,0900 016 4764,-10.25,-48.25,391
Fernandes,RN,+55 21 5158-9779,-5.22,-36.52,381
Silva Moura S.A.,SC,+55 61 2147 6375,-27.33,-49.44,368
Cardoso,SE,(084) 7459-6589,-10.9,-37.07,373
Cunha,AM,21 3662 8623,-3.07,-61.66,363
Freitas Porto S.A.,PI,71 5542-8662,-8.28,-43.68,357
Cardoso Oliveira S.A.,AM,+55 (084) 1174-0262,-3.07,-61.66,363
Azevedo,RS,+55 (071) 2347-5473,-30.01,-51.22,355
Cunha Duarte S/A,RR,(071) 5245-2999,1.89,-61.22,374
